id,target,pred
2,43.725338,32.53156
8,2.397366,1.57105
13,0.974447,1.0369339
15,0.699455,2.5210156
20,0.721099,2.8944182
23,5.946396,0.94824994
37,13.269506,40.101242
39,122.727226,21.577759
53,18.823395,3.884181
61,8.028213,1.4674888
65,3.414019,1.5618719
71,1.118722,1.2288644
72,3.140317,3.9425323
78,2.121381,2.4040163
83,17.419079,10.49505
86,7.66221,5.766082
91,8.800327,3.5594027
99,6.484639,11.67572
101,8.905281,9.826339
105,5.125371,8.959438
107,1.947835,2.2672
115,7.517514,6.474375
121,6.180982,8.047976
132,2.818821,3.0420747
136,5.401973,5.7841783
142,4.366343,5.346896
145,2.384579,2.7081676
151,15.238692,19.638435
156,6.861703,1.6305957
158,0.951251,3.9997735
159,0.130511,0.5815059
169,0.536158,0.68660617
171,0.403339,0.7816961
182,94.016205,11.488987
185,30.466663,21.60585
187,1.726809,2.015576
191,39.074074,26.89973
198,2.361922,15.047533
205,6.693704,11.363565
207,2.29744,31.619144
209,25.926792,87.80876
213,4.941019,13.035791
215,8.899083,8.332127
217,19.87888,21.539318
222,36.543331,18.27773
230,31.064514,26.041317
244,37.501755,14.159932
250,5.757475,4.5018654
258,38.113899,30.388435
265,49.337059,57.13345
271,3.997833,3.917119
273,7.924036,8.48143
274,7.321405,5.267079
277,4.255525,7.081231
287,25.540138,37.1714
292,3.220242,2.9224536
294,5.646649,5.06791
295,12.900056,7.597522
300,12.607108,14.855772
305,4.820117,5.064757
306,5.387073,5.235686
308,18.705574,22.237274
310,15.018846,12.759766
311,58.830826,33.38643
316,3.604092,4.197247
323,5.457858,4.8367853
328,2.594532,2.8684168
334,3.22815,3.0270038
338,0.781117,2.4690833
339,19.178556,5.662407
348,103.611359,145.36948
352,2.706676,2.6137314
363,0.659281,1.7656357
371,2.811746,5.1077156
374,38.342033,47.76792
376,2.11151,8.018161
377,1.708661,1.2285922
380,2.422987,2.8564768
382,2.802583,3.0829835
386,6.696978,4.8512187
390,4.246943,2.5160582
394,7.575935,10.183964
398,80.198486,26.219915
401,2.909141,12.699296
409,13.774784,39.700806
413,9.058872,12.013315
421,13.447206,19.876938
425,40.68927,42.99487
427,29.049402,9.333935
429,27.769466,41.839294
431,1.559327,0.8864327
444,15.704515,11.271301
447,1.207992,1.4739351
453,0.577028,1.1687152
458,2.180136,1.9822252
465,115.354797,57.675594
476,80.523613,64.739265
481,5.529696,7.233006
483,4.077938,3.52006
491,2.960614,1.8544116
500,2.792799,1.505101
503,7.993262,5.21731
505,24.326588,46.1317
514,3.526793,6.9021854
519,11.905856,14.938468
526,73.703682,44.94525
529,3.944808,4.462772
534,25.369753,2.1550388
545,4.995132,57.191887
548,1.812539,2.7068064
552,3.748533,6.931357
556,16.904158,17.656845
570,31.042553,21.7042
571,1.994332,22.954067
576,2.032334,3.4245992
579,0.34443,2.211806
583,7.714733,8.336652
584,1.915974,8.493933
585,2.796773,3.8032935
588,22.714432,9.479677
590,7.864332,18.842346
591,32.167488,30.20616
593,184.876053,11.077976
607,4.573371,7.6164823
614,2.193555,4.927786
619,19.13847,10.126352
628,14.548474,7.3389025
634,14.471999,5.0981984
636,4.409896,7.6544676
660,13.031177,6.832687
672,4.46851,9.684971
674,2.819989,3.599422
686,5.291623,5.392661
687,23.599848,39.417156
694,3.065492,2.6231415
696,1.841625,2.1344848
697,1.644803,2.0417795
704,9.030931,7.437233
