id,target,pred
7,32.106945,17.67438
12,2.415583,9.171676
18,11.032402,15.833782
49,8.891505,5.29244
57,8.954539,5.1510468
59,31.201477,31.18536
84,9.626024,12.592945
85,10.480958,8.417524
96,1.336676,1.3729055
100,2.567601,12.764637
104,11.822142,17.411982
109,10.748892,7.9322324
113,15.541629,28.4696
118,2.133198,3.2879248
123,12.659221,19.03262
128,3.415801,3.9070413
140,1.947027,2.746099
155,3.836,3.9210424
157,1.099242,1.067841
163,4.855302,5.236533
168,0.620523,1.2979795
179,5.431882,4.6103625
195,18.986197,11.423063
199,19.186132,15.817726
208,15.066015,24.550074
210,105.262222,64.43367
212,0.617877,1.5957423
219,2.057638,3.6000323
220,10.459622,23.125315
221,653.729431,106.84871
226,1.728389,17.179108
227,4.952149,5.17035
229,1.025681,1.2382555
231,5.907013,9.460189
237,20.906227,18.244476
238,3.287688,4.0615
243,2.118641,1.6515099
247,12.314972,11.541077
252,16.702345,6.5712214
259,2.024522,1.6642531
261,11.75101,4.0185633
263,14.605018,4.8650837
269,0.942901,2.4499536
272,3.192276,2.7947345
275,2.11409,4.401417
276,10.562142,4.922946
278,7.887485,3.9283879
281,12.799106,15.1001425
283,26.404413,23.606499
286,32.759109,18.131386
288,8.034109,5.9307785
290,20.881678,30.024992
297,5.775739,5.28886
303,1.949338,2.8759737
304,35.624153,12.989102
307,7.387001,6.721802
315,3.389155,5.1402864
340,4.202446,3.8112333
342,2.634492,2.1924105
344,6.828596,6.588801
347,255.275009,62.42287
349,0.162549,0.46921253
350,3.133726,3.1810281
351,13.622057,7.989517
353,1.15132,1.6301727
358,2.587283,2.0117316
360,1.569264,2.2202103
365,0.382214,0.8972659
367,1.816674,3.9197993
381,2.921428,3.4789677
383,1.658039,1.6488059
406,0.696977,1.9737526
407,5.985192,3.382516
415,23.951872,18.987122
422,10.259826,13.803368
424,13.667533,23.277622
426,11.12303,7.3865013
435,1.732937,1.0379434
440,55.800289,38.50676
445,7.668997,37.285217
456,94.952835,60.362232
461,16.647352,22.542013
462,22.15163,17.486393
464,7.428345,4.2881937
480,17.675589,10.708241
482,9.040203,20.618626
489,1.752344,1.8196716
490,192.569748,18.81066
494,4.920867,2.8088756
497,497.917053,56.78974
498,18.637442,8.511002
508,17.755178,24.820219
509,6.899593,25.7827
518,11.835938,3.8086834
521,4.257166,4.272066
522,14.548932,8.349325
530,0.305661,1.3350015
538,26.922552,7.7444143
542,13.026654,16.722328
543,1.042334,1.8412008
547,0.857333,0.8016454
549,2.766296,1.3692183
553,1.350114,1.8169979
560,8.320502,2.83065
561,2.733634,3.0711374
573,77.952179,47.202835
575,1.354809,3.0550773
589,2.983013,6.1318846
597,45.911194,10.159709
604,55.231853,32.949142
613,16.853231,20.29631
617,2.093027,5.659256
618,5.680988,7.1793914
620,16.267612,49.38305
626,1.04006,1.7251694
629,7.5936,9.818901
630,1.069815,2.2751198
632,21.733984,14.595758
643,3.841268,7.3894734
644,6.800694,9.095939
647,20.888294,22.81963
649,0.880651,1.2509993
650,1.74403,5.852771
651,23.203064,26.492851
655,0.967409,2.3678057
657,5.876173,5.5218115
662,5.674743,6.61541
664,9.165866,16.547031
668,30.709051,15.871533
669,7.280647,10.072763
677,6.886598,7.8483834
690,5.601654,6.2684917
705,7.244217,6.859297
707,3.204506,6.675417
714,10.19932,5.648912
719,6.265515,9.766462
736,5.851987,6.921591
741,13.262871,7.2134104
742,2.301664,4.426775
744,2.068653,8.157418
748,4.667126,5.5199404
767,1.579381,21.798817
772,1.301345,2.750666
781,1.690092,2.5486934
782,24.975412,24.20068
783,1.503273,1.3423425
786,6.331562,4.7962494
787,0.779541,1.9426591
788,3.715679,1.346796
798,1.272546,1.6111984
802,3.144067,2.2581568
803,51.214012,20.431236
805,1.089682,1.3704591
811,8.766854,1.8153768
821,0.920243,1.3270203
834,0.773463,2.1847353
839,0.426679,3.0924938
841,0.141495,0.6388154
842,0.181636,1.3477852
843,0.157198,0.7693274
844,3.013575,27.868736
845,25.420061,32.217888
847,23.641275,33.345528
856,1.532732,0.97810364
857,0.520195,1.0126846
858,0.664026,0.81024563
862,0.172165,0.347002
864,0.430102,0.569684
869,0.587527,0.81587833
871,0.205307,0.385368
881,24.170746,13.764229
889,24.832996,19.990742
891,2.627949,2.656833
897,9.906394,11.717556
907,4.697192,15.843544
911,0.392713,1.0408361
916,0.406413,1.6422342
926,228.756454,6.8032146
941,0.507089,1.2636974
942,0.915343,1.1953998
949,2.737889,1.8742232
958,0.72348,5.3422093
961,6.864399,9.874444
964,33.99295,10.429592
965,8.347326,6.826583
968,10.014993,4.311326
978,19.480463,14.165028
979,18.490454,11.531665
986,13.092052,25.852558
998,16.721071,24.875685
1000,26.368036,23.347786
1005,36.106636,33.277733
1006,9.508597,31.343166
1009,6.82312,12.170849
1010,13.60645,12.019994
1014,4.31775,4.907337
1024,2.267731,1.7778113
1025,4.869224,4.915292
1027,2.511252,6.34591
1029,4.700917,6.007567
1032,7.139968,8.311833
1033,4.578342,4.8565664
1037,24.804771,12.801553
1042,4.890503,6.9238267
1047,3.999388,3.9370081
1053,7.294742,6.381236
1055,6.828291,5.182308
1057,9.433085,10.540221
1058,1.656601,3.544754
1061,43.493031,25.504086
1064,24.473612,24.650036
1068,10.452326,5.14189
1072,8.442562,11.294647
1073,5.835367,5.565119
1078,5.122627,5.7871623
1080,3.08716,5.241441
1084,6.803135,6.5595727
1088,1.232295,3.0805492
1093,2.072548,3.7615871
1097,0.656532,1.4336281
1099,1.704818,2.994036
1102,4.186391,2.9267817
1106,2.007986,2.2521043
1110,11.896329,11.028866
1113,5.020928,9.227545
1116,2.127657,3.7951918
1117,3.779307,3.9177623
1123,2.680264,5.923457
1125,5.748697,5.90499
1127,3.605178,4.116372
1135,2.624202,3.043292
1159,5.334724,4.3576136
1161,2.65932,3.4725013
1179,0.979073,2.0058093
1190,15.01766,6.3578515
1192,7.237065,8.001532
1195,6.442422,6.431143
1200,7.10533,6.2394123
1204,9.745479,8.1964855
1207,10.621787,4.7431517
1208,9.150626,7.6679068
1210,8.796603,7.2227383
1213,27.762384,17.754066
1220,19.863773,20.296768
1221,16.048359,17.918804
1229,8.157081,13.113773
1231,3.679161,6.3240166
1234,3.235012,5.9575977
1236,1.718085,5.0819674
1241,7.48215,17.69312
1244,1.58653,13.275994
1263,9.704416,6.47767
1268,5.860493,4.150408
1270,2.429507,2.3750732
1271,1.336279,1.6123157
1283,5.313528,3.102237
1286,1.491221,1.6835353
1292,1.071154,1.8763752
1295,1.725294,2.9847598
1298,10.128119,10.407566
1307,1.096052,1.8499672
1309,2.229101,2.8380542
1313,4.916579,5.26851
1316,1.28079,5.258518
1320,1.251457,2.0339909
1321,1.480838,1.9223678
1323,1.102669,2.0814033
1326,10.221461,10.719414
1330,21.52672,20.747372
1334,15.223952,20.835363
1345,25.699118,30.429985
1350,21.567162,19.880253
1351,15.653683,17.353077
1356,8.766882,20.53851
1360,14.961225,18.572086
1361,18.631414,19.143082
1362,2.386132,10.224304
