id,target,prediction
2, 43.725338, 33.819817
8, 2.397366, 1.593296
13, 0.974447, 0.672082
15, 0.699455, 1.309988
20, 0.721099, 1.793710
23, 5.946396, 1.284785
37, 13.269506, 23.577805
39, 122.727226, 19.837893
53, 18.823395, 3.028785
61, 8.028213, 0.982343
65, 3.414019, 1.601690
71, 1.118722, 1.192094
72, 3.140317, 4.796999
78, 2.121381, 3.127812
83, 17.419079, 9.628829
86, 7.662210, 6.521822
91, 8.800327, 1.648225
99, 6.484639, 22.456484
101, 8.905281, 9.656596
105, 5.125371, 9.481147
107, 1.947835, 2.666255
115, 7.517514, 7.069556
121, 6.180982, 6.167134
132, 2.818821, 2.098017
136, 5.401973, 5.417356
142, 4.366343, 3.393992
145, 2.384579, 1.791848
151, 15.238692, 29.327166
156, 6.861703, 1.675014
158, 0.951251, 5.662887
159, 0.130511, 0.343635
169, 0.536158, 0.504019
171, 0.403339, 0.176973
182, 94.016205, 4.319723
185, 30.466663, 10.103320
187, 1.726809, 2.146849
191, 39.074074, 18.824450
198, 2.361922, 12.624288
205, 6.693704, 15.439426
207, 2.297440, 36.497368
209, 25.926792, 17.734411
213, 4.941019, 18.137465
215, 8.899083, 8.290028
217, 19.878880, 15.782655
222, 36.543331, 10.951621
230, 31.064514, 20.764261
244, 37.501755, 14.552295
250, 5.757475, 2.438111
258, 38.113899, 23.276300
265, 49.337059, 43.384285
271, 3.997833, 2.660470
273, 7.924036, 6.077828
274, 7.321405, 3.300761
277, 4.255525, 5.836784
287, 25.540138, 41.155495
292, 3.220242, 2.490500
294, 5.646649, 3.327538
295, 12.900056, 9.885120
300, 12.607108, 22.559357
305, 4.820117, 4.157320
306, 5.387073, 2.718067
308, 18.705574, 18.002220
310, 15.018846, 9.911653
311, 58.830826, 25.738094
316, 3.604092, 2.731609
323, 5.457858, 12.123813
328, 2.594532, 2.400404
334, 3.228150, 2.596704
338, 0.781117, 3.714037
339, 19.178556, 5.395811
348, 103.611359, 39.301529
352, 2.706676, 2.684401
363, 0.659281, 1.387629
371, 2.811746, 3.461584
374, 38.342033, 48.932709
376, 2.111510, 3.702148
377, 1.708661, 1.004046
380, 2.422987, 2.112695
382, 2.802583, 2.856895
386, 6.696978, 3.440991
390, 4.246943, 2.326230
394, 7.575935, 11.888011
