id,target,prediction
0, 83.716904, 2.941880
14, 3.607003, 2.226226
17, 28.671942, 7.502804
22, 2.439213, 2.252516
25, 44.604080, 15.325144
29, 59.104649, 63.356636
30, 17.839291, 18.698990
31, 3.781048, 3.449592
32, 464.810760, 176.850861
43, 3.381527, 1.790375
44, 17.095942, 5.713359
45, 1.326989, 5.058526
48, 27.214636, 6.693148
51, 511.658508, 191.925598
52, 125.215012, 82.594795
56, 21.959511, 3.880732
63, 7.773493, 6.531943
67, 3.837961, 2.952428
69, 7.622139, 13.223913
70, 5.249578, 6.337867
73, 0.986971, 1.372576
76, 2.743930, 3.448012
80, 3.716657, 2.371212
87, 25.393211, 28.124346
88, 22.938702, 33.224648
93, 23.170273, 21.848461
102, 11.160483, 6.452549
108, 24.271761, 8.316040
111, 3.881922, 4.081237
120, 2.389595, 2.904426
124, 14.311051, 13.823566
134, 1.410858, 1.883489
135, 5.242535, 3.788255
139, 1.699298, 3.993778
141, 6.130790, 4.504910
144, 0.973567, 1.920322
149, 20.622915, 18.911543
152, 51.535183, 10.524894
162, 2.539555, 3.103294
166, 4.614196, 3.098189
170, 74.287125, 28.567072
173, 7.080837, 14.383625
174, 183.134903, 207.908218
175, 0.837459, 7.384737
176, 0.924572, 1.864246
177, 0.642918, 0.862852
178, 0.408208, 1.593349
183, 2.122974, 2.086615
184, 2.618416, 7.361046
188, 2.941877, 2.208542
192, 152.746063, 127.873222
194, 23.313437, 10.105745
196, 16.579731, 7.656006
203, 25.048101, 2.511124
211, 3.601131, 3.054238
214, 0.952367, 2.925854
218, 1.369619, 1.958479
233, 33.796738, 2.904135
239, 12.231404, 4.135189
240, 2.361815, 4.095073
246, 14.478289, 16.158165
251, 3.929826, 4.195644
254, 27.865791, 10.913021
256, 2.257558, 1.878307
257, 1.285751, 1.529601
266, 41.559845, 44.605984
270, 7.010403, 10.445209
279, 59.181969, 57.114811
282, 2.571077, 4.771411
289, 7.029329, 6.165576
291, 6.589354, 7.025719
296, 4.794317, 4.962706
298, 20.332018, 34.071598
299, 8.660226, 12.935751
309, 1.060424, 1.219488
313, 1.243292, 2.671216
314, 1.227354, 8.295561
318, 0.872902, 4.902846
321, 31.844757, 17.787632
322, 5.556490, 10.499398
324, 24.886824, 47.370396
325, 16.468380, 6.289336
331, 3.082928, 8.018106
332, 38.493156, 55.659267
343, 16.269421, 39.518826
346, 32.651295, 48.431232
354, 1.977407, 22.093336
361, 7.134840, 7.635264
366, 1.777108, 2.797898
368, 3.504207, 3.058172
370, 11.460526, 11.680704
387, 3.378882, 1.994348
393, 4.717421, 4.787384
402, 5.882101, 3.868743
408, 7.927879, 10.055947
410, 63.920769, 1.992945
411, 3.246493, 5.591589
414, 0.352131, 1.484939
416, 4.616918, 6.454716
420, 63.222881, 38.083458
423, 23.831184, 51.529881
430, 4.199632, 8.056984
432, 40.058720, 17.070969
433, 1.457003, 2.694776
436, 0.970833, 2.977970
438, 5.337334, 3.138092
439, 2.441215, 3.524678
442, 4.818327, 3.986856
