id,target,prediction
3, 37.045574, 37.388012
5, 27.922592, 18.421515
6, 46.840466, 17.972181
9, 1.336420, 8.001138
10, 36.628075, 21.558941
24, 3.023969, 0.844408
26, 1.767820, 0.679402
27, 49.890453, 12.369952
28, 70.924088, 94.514519
33, 25.380093, 18.591267
40, 870.842834, 97.648689
41, 635.275757, 75.834648
42, 22.574430, 15.044854
47, 15.644783, 2.033685
54, 3.842136, 10.415784
55, 8.633175, 1.683793
58, 57.838737, 10.377560
60, 9.134080, 1.782702
62, 9.629859, 9.738847
66, 1.088182, 1.648268
68, 2.209742, 2.780433
74, 37.932995, 4.322969
77, 8.809568, 3.339000
79, 6.034318, 7.532299
81, 5.717459, 6.338077
82, 19.410673, 15.520029
92, 8.225149, 12.065241
94, 28.025925, 19.206764
97, 1.513425, 1.550339
106, 2.148815, 2.887567
110, 11.318564, 30.475182
112, 45.793140, 7.797734
117, 0.904118, 4.534377
125, 22.487356, 24.246902
126, 17.476955, 7.965579
129, 3.866502, 10.017824
131, 10.125100, 10.193869
137, 3.643441, 3.498292
138, 1.754834, 2.723928
147, 3.001999, 1.389482
148, 16.241028, 18.640869
150, 16.231390, 16.796480
164, 3.621982, 3.218721
165, 0.583173, 0.609444
167, 1.346232, 0.548687
181, 4.987964, 2.207260
193, 34.467350, 26.021362
204, 4.220212, 9.384173
223, 28.523129, 5.373413
224, 17.335905, 11.018234
228, 3.069454, 1.925311
232, 1.159140, 4.129137
235, 21.324007, 24.530125
236, 64.165749, 40.716419
242, 2.420986, 3.384751
248, 5.620808, 11.734879
249, 21.307909, 31.075483
255, 91.160507, 20.290617
260, 4.678656, 4.084981
267, 59.362759, 31.598753
280, 27.015356, 18.448189
285, 6.253870, 11.560762
302, 4.869647, 4.642804
312, 29.859215, 11.398716
319, 3.188072, 1.474231
320, 24.433126, 12.716785
326, 7.473130, 11.058578
327, 29.691370, 31.108051
329, 3.130069, 2.530215
333, 0.246609, 0.446406
336, 19.635740, 16.605072
341, 3.415483, 3.283042
345, 378.313263, 67.631416
355, 8.303992, 2.812768
357, 5.219543, 3.909758
359, 1.710088, 2.940518
362, 4.548604, 6.570569
364, 0.920621, 1.834192
372, 0.197785, 1.037041
373, 5.368747, 6.031594
375, 4.825138, 6.936888
384, 18.155602, 19.302307
385, 4.669983, 8.243474
388, 10.399741, 10.246503
389, 1.547944, 1.214609
404, 30.361456, 28.261486
405, 6.121539, 6.859125
419, 51.678940, 2.447614
428, 1.162301, 2.733442
434, 64.319405, 79.976822
437, 35.100864, 33.009426
441, 52.108994, 21.677610
446, 8.455112, 10.170241
448, 0.722444, 1.209332
451, 0.153579, 0.551832
454, 2.394603, 2.203205
467, 6.672653, 5.818801
470, 5.657647, 7.574903
473, 2.647274, 3.359542
475, 0.391042, 1.383671
477, 44.724434, 23.814873
484, 43.036671, 20.893621
493, 7.252590, 8.672916
513, 8.041951, 8.984189
516, 44.841816, 31.005196
517, 40.544975, 22.398754
520, 6.629636, 2.437483
523, 5.006316, 5.186092
525, 24.376188, 3.985625
531, 6.888597, 10.857347
536, 2.897282, 1.347252
539, 1.584786, 20.548491
541, 31.310986, 22.808069
551, 6.123410, 10.939457
558, 0.273290, 0.565810
566, 6.646122, 9.226445
577, 6.208137, 28.587011
587, 29.419392, 8.558087
592, 9.853045, 1.689375
603, 3.007722, 6.500750
609, 98.640160, 52.593731
615, 1.676889, 2.922134
622, 0.466321, 1.208440
624, 11.337976, 25.497944
631, 0.652672, 1.116062
638, 2.610417, 6.078007
645, 14.765546, 6.821553
653, 4.913260, 4.667089
661, 1.325314, 2.302173
665, 62.055347, 29.004078
666, 0.867268, 1.436686
667, 54.716366, 31.356750
671, 1.030037, 2.052526
673, 5.752021, 7.469510
688, 0.293302, 0.589344
689, 23.243872, 16.842709
692, 1.995965, 3.664598
701, 4.811396, 3.918297
706, 2.976320, 4.109772
708, 5.544624, 4.453201
711, 3.649442, 5.942470
716, 3.799995, 2.745019
720, 9.119743, 10.931452
722, 3.336891, 3.279411
723, 4.383665, 3.431170
724, 3.181527, 14.948003
725, 3.677900, 4.310878
730, 7.891380, 13.538245
735, 5.307444, 6.495744
739, 1.152833, 6.811275
743, 6.641465, 17.622025
745, 8.022137, 9.261355
757, 6.270737, 9.506436
758, 0.433874, 4.047009
760, 10.319535, 12.138938
762, 2.439725, 9.125247
768, 1.742593, 0.900630
770, 0.546723, 1.364202
774, 5.823239, 2.378156
777, 14.615050, 12.658881
793, 0.539138, 40.043564
796, 6.288740, 24.399706
799, 2.105674, 7.754266
806, 1.164366, 28.312536
814, 2.321419, 1.460467
818, 4.814873, 3.289856
820, 1.270230, 1.771712
822, 25.154530, 32.827175
827, 22.896557, 24.514259
832, 0.752014, 2.675696
846, 12.488723, 15.153289
848, 57.223576, 41.926018
852, 24.499323, 26.943779
868, 0.218657, 1.020902
875, 1.488820, 1.281999
882, 12.033405, 24.187136
899, 23.801210, 20.286758
901, 30.733040, 30.313597
904, 1.704324, 1.371745
905, 0.703452, 0.966115
909, 0.558949, 1.832969
914, 2.846316, 1.783702
918, 207.195206, 131.832489
919, 1754.725342, 127.426491
921, 1.742148, 2.898762
922, 20.986092, 38.320675
924, 2.866713, 3.978143
935, 3.857298, 3.361727
936, 24.200312, 15.075716
938, 16.207075, 11.061601
939, 10.483843, 8.545533
943, 1.483682, 0.983768
946, 29.406286, 13.464604
950, 7.202298, 3.376005
951, 4.528493, 4.406827
966, 13.185480, 13.465505
967, 3.273072, 3.019305
984, 10.262296, 18.439775
987, 2.710923, 11.948459
989, 6.464277, 4.166761
997, 16.076246, 17.077572
1002, 5.307889, 9.923788
1013, 2.241406, 3.522206
1019, 5.417237, 6.881501
1022, 4.126867, 8.045642
1026, 4.351214, 4.933200
1030, 4.258399, 5.781431
1031, 6.988091, 9.119546
1035, 1.185335, 2.357991
1040, 3.003663, 6.915584
1046, 7.142780, 3.955069
1049, 46.180519, 24.250904
1063, 20.237329, 26.182751
1079, 3.040533, 4.431393
1086, 5.062157, 4.989232
1101, 2.666548, 1.765638
1107, 1.529983, 1.871452
1108, 0.850592, 1.419272
1111, 9.534048, 11.570449
1118, 4.865107, 3.598750
1120, 1.894037, 2.647131
1132, 2.762310, 4.258563
1138, 7.929470, 7.155548
1142, 4.069176, 3.649673
1144, 11.446485, 17.657469
1145, 15.751513, 11.940680
1160, 2.323896, 3.747644
1168, 4.646507, 6.395944
1169, 3.556372, 3.913639
1171, 0.412179, 1.085653
1172, 1.853536, 3.263089
1176, 1.200140, 2.198242
