id,target,prediction
1, 1.055639, 1.207790
4, 26.596716, 25.538954
11, 3.000347, 2.936433
16, 6.141385, 5.166719
19, 366.804016, 12.898698
21, 17.099415, 21.115021
34, 30.302065, 16.339022
35, 2.805806, 1.339618
36, 29.499119, 29.122765
38, 68.199539, 32.331722
46, 0.786734, 2.048028
50, 20.787920, 10.302685
64, 0.243059, 0.267608
75, 3.455683, 2.111466
89, 7.140918, 2.670448
90, 44.708858, 31.901680
95, 8.062248, 6.856129
98, 7.891177, 10.517738
103, 18.703308, 5.242280
114, 9.272073, 8.033914
116, 9.443916, 5.860777
119, 36.464256, 47.734142
122, 4.765152, 2.976768
127, 22.252113, 124.333176
130, 9.676888, 8.539820
133, 3.092701, 1.701836
143, 1.938122, 0.412123
146, 3.235465, 2.583169
153, 1.004048, 0.557145
154, 17.291243, 31.767004
160, 3.517239, 6.178477
161, 7.428810, 6.351545
172, 1.824672, 4.549306
180, 2.910579, 2.269629
186, 16.049940, 8.284039
189, 4.160462, 3.019741
190, 13.064304, 11.419462
197, 17.337692, 10.060011
200, 1.820636, 11.290182
201, 1.564556, 8.130316
202, 9.487208, 11.087968
206, 21.165953, 15.843201
216, 0.508494, 0.604785
225, 6.176516, 10.992788
234, 44.669044, 30.307281
241, 3.549511, 2.319779
245, 15.100497, 17.559265
253, 5.307918, 4.138423
262, 4.507896, 2.396893
264, 6.722052, 9.032446
268, 1.866607, 2.447352
284, 14.905782, 9.115293
293, 1.861550, 0.447041
301, 2.430779, 3.834521
317, 3.352062, 3.568504
330, 1.280904, 1.811493
335, 3.435028, 4.583380
337, 3.154071, 5.031306
356, 2.009735, 4.727118
369, 1.548685, 0.907878
378, 0.912271, 2.841355
379, 51.424572, 65.313469
391, 2.303911, 1.060563
392, 2.405335, 1.072173
395, 42.533619, 21.757278
396, 29.832968, 20.106564
397, 12.833587, 10.430868
399, 32.632339, 21.662231
400, 10.815219, 8.578363
403, 5.909629, 4.470861
412, 0.793927, 1.638574
417, 7.490339, 7.428948
418, 9.209065, 8.383088
452, 20.027351, 1.611055
455, 77.394676, 9.271364
459, 3.585332, 1.639193
466, 17.174408, 19.031757
469, 17.871229, 6.083254
474, 3.782154, 2.332538
487, 18.958378, 24.065910
488, 28.537420, 22.735668
492, 2.912456, 2.438838
496, 1.152594, 3.334692
499, 8.668462, 6.158020
502, 1.617273, 2.695755
504, 11.794780, 8.087206
510, 1.181303, 5.780922
512, 67.937706, 43.548927
515, 0.248476, 0.080326
524, 1.636880, 1.069858
537, 37.634178, 13.806192
540, 2.507565, 1.207956
546, 4.257531, 5.069401
550, 1.544063, 3.122670
559, 6.359574, 3.547026
562, 64.277023, 59.002811
563, 2.227243, 1.707674
569, 39.675945, 52.867359
574, 4.838831, 29.924299
580, 7.619516, 40.098335
586, 3.373784, 6.066942
595, 138.320068, 76.533028
600, 5.617641, 6.459439
606, 59.056320, 68.380814
608, 2.347005, 6.133521
616, 3.258509, 5.345294
623, 43.837894, 18.403929
625, 4.628395, 4.750543
627, 2.724415, 26.530256
633, 3.533296, 4.073654
635, 6.252828, 5.163148
639, 8.791031, 18.630630
640, 6.707240, 11.610509
641, 1.457285, 1.295843
646, 6.284455, 12.710035
648, 43.680115, 26.205608
652, 29.853664, 33.097824
656, 1.636633, 1.887492
658, 0.665730, 0.225435
659, 1.503822, 1.222480
663, 8.686874, 6.136187
675, 9.637540, 7.096220
681, 7.748562, 16.789358
683, 1.818204, 0.766830
684, 1.622115, 2.769129
698, 4.171693, 4.563443
699, 6.350097, 3.673638
702, 15.126050, 11.370239
703, 0.332608, 1.768432
709, 4.623124, 6.996826
713, 8.819745, 5.178401
717, 26.092503, 4.254908
728, 14.769526, 8.837929
732, 4.496161, 5.606745
740, 7.458874, 7.097747
747, 19.667692, 15.974579
750, 2.155559, 1.430876
753, 4.078952, 1.799460
763, 1.788398, 0.987105
766, 9.466001, 8.866473
769, 0.976861, 1.146877
773, 0.369241, 0.857895
775, 0.521173, 0.662238
779, 2.570029, 11.346951
784, 0.640427, 0.835019
791, 2.248275, 0.908849
795, 27.155933, 24.136290
797, 15.764782, 14.408616
804, 21.259495, 19.426460
815, 15.318195, 2.513280
823, 1.698921, 5.919516
825, 2.296731, 1.753438
828, 1.783517, 1.094435
830, 2.155344, 1.072474
833, 1.072089, 1.607667
835, 1.007035, 0.474660
837, 11.552176, 17.013964
850, 12.956957, 19.810768
851, 38.697193, 37.897087
853, 21.765013, 22.568127
854, 29.810160, 31.191677
860, 0.458209, -0.298803
863, 0.669921, 0.808933
870, 1.029472, 0.822778
872, 0.245060, 0.066505
876, 1.392708, 3.967669
877, 1.728702, 0.822246
878, 40.224770, 32.940388
880, 13.365227, 24.709461
884, 3.361437, 2.748008
894, 26.976295, 13.049176
895, 24.405832, 20.417038
896, 19.151421, 29.674992
920, 12.760672, 16.554440
928, 2.723711, 3.290182
933, 7.859419, 6.179183
953, 0.688109, 0.935024
954, 0.872663, 0.882759
955, 0.720912, 0.847773
956, 7.632953, 6.495764
957, 7.195070, 5.269632
959, 2.087811, 3.751061
960, 7.797696, 4.280030
971, 11.506719, 12.134608
972, 13.405779, 9.393697
975, 21.057091, 13.421934
977, 39.170162, 26.687859
980, 24.838951, 44.220886
991, 4.411769, 2.626265
992, 41.488983, 28.169523
995, 20.669920, 23.568302
996, 28.681103, 24.133366
1008, 33.308662, 12.482677
1012, 2.243459, 3.583863
1015, 5.068156, 2.151387
1016, 3.976324, 5.798460
1020, 1.207133, 2.399293
1021, 15.162347, 8.683237
1028, 2.530421, 2.946491
1038, 19.917704, 24.640097
1045, 7.444560, 16.981350
1051, 4.121379, 2.072505
1059, 14.101714, 21.242058
1060, 12.604663, 13.188122
1062, 6.761587, 17.914463
1065, 34.019791, 18.175739
1066, 44.278599, 19.700111
1069, 10.051986, 3.642733
1076, 44.428150, 20.175016
1077, 4.144292, 3.358329
1081, 5.172622, 2.121566
1082, 6.093306, 10.613672
1092, 2.648005, 4.652266
1095, 1.846148, 1.146675
1115, 3.800390, 2.734430
1119, 3.527401, 2.106211
1122, 3.091328, 2.780102
1126, 3.188624, 2.479517
1129, 3.302315, 1.402495
1130, 1.184836, 1.031961
1136, 21.879414, 19.483047
1139, 5.304818, 3.369007
1140, 4.019269, 2.834317
1141, 3.255661, 2.110323
1147, 4.908237, 5.157083
1148, 5.619652, 5.466332
1150, 4.734373, 5.296733
1152, 3.853581, 5.209476
1153, 2.928283, 3.332998
1154, 7.536644, 6.106444
1155, 4.329420, 3.899463
1156, 3.211920, 2.833731
1158, 2.331024, 1.073368
1162, 2.712306, 1.988462
1166, 5.737607, 3.624190
1167, 4.707128, 6.554962
1180, 4.956785, 7.206561
1183, 17.812496, 19.173920
1184, 5.779489, 11.854280
1191, 10.395427, 9.551900
1197, 4.771106, 3.609951
1205, 4.809694, 6.987910
1209, 7.476115, 6.029529
1212, 10.815248, 22.536592
1214, 10.511652, 18.264252
1215, 15.618808, 19.810892
1217, 19.041613, 14.703309
1218, 26.750938, 20.015478
1219, 24.583860, 16.872137
1227, 26.463224, 19.298023
1238, 9.814977, 12.269342
1243, 18.406794, 11.090298
1257, 1.609024, 2.507841
1267, 2.966399, 2.310439
1275, 8.078617, 3.567616
